,0,1,2
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,10.0,0.0,0.0
3,64.0,0.0,0.0
4,118.0,0.0,0.0
5,127.0,0.0,0.0
6,163.0,2.0,0.0
7,174.0,16.0,4.0
8,175.0,36.0,15.0
9,184.0,41.0,62.0
10,189.0,57.0,108.0
11,219.0,118.0,128.0
12,242.0,167.0,171.0
13,258.0,192.0,143.0
14,226.0,199.0,152.0
15,228.0,210.0,143.0
16,203.0,194.0,158.0
17,213.0,201.0,126.0
18,261.0,199.0,154.0
19,301.0,213.0,150.0
20,282.0,203.0,135.0
21,302.0,202.0,106.0
22,335.0,179.0,150.0
23,333.0,199.0,121.0
24,286.0,184.0,158.0
25,258.0,173.0,169.0
26,224.0,187.0,179.0
27,221.0,226.0,160.0
28,205.0,216.0,162.0
29,193.0,217.0,182.0
30,159.0,268.0,172.0
31,190.0,325.0,204.0
32,148.0,389.0,187.0
33,141.0,336.0,189.0
34,162.0,318.0,205.0
35,173.0,327.0,168.0
36,184.0,239.0,212.0
37,146.0,182.0,202.0
38,104.0,193.0,296.0
39,115.0,180.0,315.0
40,103.0,171.0,312.0
41,97.0,168.0,280.0
42,73.0,176.0,215.0
43,81.0,170.0,194.0
44,83.0,203.0,166.0
45,75.0,133.0,187.0
46,63.0,135.0,156.0
47,77.0,144.0,147.0
48,66.0,120.0,146.0
49,74.0,84.0,155.0
50,60.0,77.0,159.0
51,56.0,81.0,153.0
52,46.0,72.0,144.0
53,53.0,68.0,135.0
54,45.0,79.0,115.0
55,38.0,70.0,128.0
56,50.0,75.0,87.0
57,37.0,83.0,84.0
58,60.0,64.0,67.0
59,50.0,77.0,54.0
60,37.0,58.0,67.0
61,39.0,61.0,66.0
62,67.0,60.0,63.0
63,57.0,65.0,53.0
64,57.0,56.0,75.0
65,51.0,43.0,69.0
66,47.0,57.0,77.0
67,42.0,58.0,71.0
68,37.0,54.0,61.0
69,33.0,47.0,56.0
70,30.0,42.0,69.0
71,42.0,48.0,45.0
72,47.0,49.0,49.0
73,24.0,45.0,42.0
74,35.0,41.0,47.0
75,24.0,46.0,46.0
76,35.0,39.0,42.0
77,36.0,38.0,48.0
78,28.0,35.0,38.0
79,27.0,39.0,41.0
80,42.0,45.0,33.0
81,31.0,35.0,60.0
82,33.0,38.0,45.0
83,40.0,28.0,35.0
84,30.0,39.0,40.0
85,36.0,38.0,52.0
86,25.0,31.0,45.0
87,25.0,29.0,28.0
88,30.0,24.0,38.0
89,31.0,30.0,38.0
90,27.0,31.0,33.0
91,30.0,27.0,28.0
92,28.0,35.0,39.0
93,19.0,24.0,41.0
94,30.0,30.0,39.0
95,30.0,26.0,27.0
96,31.0,24.0,31.0
97,27.0,25.0,27.0
98,19.0,30.0,33.0
99,30.0,18.0,28.0
100,32.0,30.0,26.0
101,17.0,18.0,26.0
102,29.0,15.0,32.0
103,29.0,14.0,41.0
104,22.0,18.0,25.0
105,29.0,9.0,23.0
106,24.0,5.0,26.0
107,19.0,7.0,22.0
108,22.0,4.0,22.0
109,27.0,3.0,26.0
110,29.0,9.0,23.0
111,18.0,2.0,24.0
112,29.0,6.0,16.0
113,15.0,2.0,26.0
114,24.0,4.0,10.0
115,11.0,6.0,13.0
116,13.0,5.0,20.0
117,6.0,5.0,8.0
118,5.0,8.0,4.0
119,2.0,1.0,5.0
120,4.0,1.0,3.0
121,2.0,2.0,5.0
122,6.0,5.0,6.0
123,6.0,1.0,5.0
124,5.0,3.0,7.0
125,2.0,2.0,4.0
126,4.0,6.0,3.0
127,5.0,5.0,8.0
128,3.0,2.0,1.0
129,6.0,3.0,4.0
130,8.0,7.0,4.0
131,1.0,4.0,1.0
132,3.0,4.0,3.0
133,2.0,3.0,3.0
134,5.0,1.0,2.0
135,2.0,1.0,5.0
136,6.0,1.0,4.0
137,3.0,2.0,8.0
138,6.0,1.0,2.0
139,3.0,5.0,4.0
140,4.0,6.0,3.0
141,4.0,5.0,3.0
142,7.0,5.0,3.0
143,6.0,5.0,2.0
144,4.0,9.0,0.0
145,8.0,7.0,2.0
146,3.0,5.0,2.0
147,4.0,6.0,4.0
148,4.0,4.0,3.0
149,4.0,2.0,3.0
150,3.0,2.0,3.0
151,5.0,4.0,6.0
152,6.0,6.0,7.0
153,5.0,4.0,9.0
154,6.0,4.0,8.0
155,1.0,8.0,7.0
156,2.0,4.0,6.0
157,3.0,3.0,4.0
158,2.0,3.0,3.0
159,4.0,2.0,4.0
160,1.0,1.0,3.0
161,0.0,3.0,2.0
162,4.0,3.0,2.0
163,1.0,3.0,8.0
164,4.0,2.0,8.0
165,0.0,0.0,5.0
166,0.0,3.0,1.0
167,1.0,0.0,1.0
168,0.0,1.0,2.0
169,0.0,2.0,3.0
170,1.0,1.0,4.0
171,0.0,3.0,2.0
172,0.0,0.0,2.0
173,0.0,0.0,2.0
174,0.0,0.0,0.0
175,0.0,0.0,1.0
176,0.0,0.0,2.0
177,0.0,1.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,3.0
180,0.0,0.0,2.0
181,0.0,0.0,1.0
182,0.0,0.0,1.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,1.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
