,0,1,2
0,7944.0,1007.0,1.0
1,2019.0,3175.0,22.0
2,1476.0,2164.0,50.0
3,1480.0,2180.0,1326.0
4,2305.0,2263.0,653.0
5,1731.0,2229.0,472.0
6,1282.0,2268.0,1317.0
7,1373.0,2824.0,829.0
8,1825.0,2744.0,838.0
9,1586.0,2151.0,928.0
10,2119.0,2198.0,783.0
11,1650.0,2339.0,924.0
12,1308.0,1840.0,1946.0
13,2083.0,2031.0,1102.0
14,1392.0,1950.0,712.0
15,1626.0,1820.0,736.0
16,1743.0,1336.0,723.0
17,1223.0,1287.0,681.0
18,884.0,1465.0,523.0
19,901.0,1495.0,574.0
20,860.0,1323.0,413.0
21,1090.0,1328.0,396.0
22,1229.0,1180.0,312.0
23,1180.0,1192.0,343.0
24,975.0,1340.0,339.0
25,805.0,1238.0,280.0
26,817.0,1335.0,347.0
27,975.0,985.0,409.0
28,1137.0,872.0,384.0
29,1025.0,771.0,522.0
30,1251.0,726.0,421.0
31,1001.0,657.0,451.0
32,772.0,661.0,462.0
33,686.0,521.0,346.0
34,694.0,442.0,378.0
35,582.0,365.0,361.0
36,605.0,349.0,365.0
37,603.0,347.0,341.0
38,488.0,309.0,303.0
39,434.0,338.0,290.0
40,447.0,277.0,252.0
41,370.0,264.0,291.0
42,377.0,277.0,257.0
43,339.0,241.0,248.0
44,335.0,222.0,243.0
45,284.0,239.0,220.0
46,293.0,221.0,220.0
47,246.0,240.0,241.0
48,237.0,224.0,204.0
49,257.0,231.0,195.0
50,226.0,210.0,200.0
51,232.0,258.0,292.0
52,221.0,244.0,249.0
53,252.0,212.0,199.0
54,217.0,251.0,260.0
55,215.0,232.0,228.0
56,221.0,250.0,260.0
57,230.0,257.0,215.0
58,252.0,262.0,233.0
59,229.0,227.0,234.0
60,215.0,235.0,234.0
61,227.0,255.0,274.0
62,232.0,251.0,266.0
63,285.0,274.0,279.0
64,215.0,268.0,294.0
65,261.0,271.0,319.0
66,243.0,267.0,306.0
67,243.0,263.0,350.0
68,242.0,275.0,321.0
69,243.0,260.0,313.0
70,228.0,289.0,322.0
71,244.0,315.0,359.0
72,258.0,354.0,356.0
73,242.0,365.0,343.0
74,282.0,334.0,377.0
75,272.0,335.0,420.0
76,268.0,343.0,434.0
77,281.0,354.0,461.0
78,282.0,417.0,469.0
79,298.0,469.0,563.0
80,293.0,445.0,1001.0
81,296.0,490.0,741.0
82,290.0,464.0,991.0
83,334.0,378.0,950.0
84,328.0,355.0,1123.0
85,329.0,416.0,957.0
86,339.0,507.0,970.0
87,320.0,493.0,933.0
88,337.0,436.0,1015.0
89,345.0,429.0,715.0
90,381.0,415.0,831.0
91,384.0,378.0,798.0
92,371.0,446.0,686.0
93,338.0,122.0,689.0
94,322.0,39.0,711.0
95,415.0,10.0,660.0
96,400.0,25.0,701.0
97,458.0,28.0,696.0
98,385.0,28.0,717.0
99,349.0,15.0,838.0
100,375.0,18.0,899.0
101,243.0,20.0,897.0
102,400.0,24.0,984.0
103,103.0,23.0,986.0
104,24.0,19.0,997.0
105,15.0,22.0,1122.0
106,24.0,24.0,1113.0
107,14.0,19.0,1141.0
108,13.0,31.0,1057.0
109,9.0,20.0,1072.0
110,17.0,25.0,1007.0
111,22.0,29.0,919.0
112,14.0,26.0,1166.0
113,28.0,31.0,893.0
114,21.0,40.0,703.0
115,23.0,46.0,636.0
116,17.0,30.0,680.0
117,28.0,18.0,653.0
118,19.0,12.0,487.0
119,21.0,10.0,483.0
120,16.0,9.0,474.0
121,25.0,14.0,463.0
122,27.0,17.0,423.0
123,32.0,16.0,479.0
124,27.0,0.0,355.0
125,26.0,0.0,322.0
126,28.0,0.0,277.0
127,40.0,0.0,241.0
128,31.0,0.0,175.0
129,25.0,0.0,161.0
130,33.0,0.0,145.0
131,12.0,0.0,140.0
132,12.0,0.0,114.0
133,10.0,0.0,116.0
134,13.0,0.0,100.0
135,11.0,0.0,101.0
136,21.0,0.0,68.0
137,7.0,0.0,53.0
138,0.0,0.0,53.0
139,0.0,0.0,36.0
140,0.0,0.0,25.0
141,0.0,0.0,19.0
142,0.0,0.0,25.0
143,0.0,0.0,34.0
144,0.0,0.0,27.0
145,0.0,0.0,19.0
146,0.0,0.0,23.0
147,0.0,0.0,20.0
148,0.0,0.0,28.0
149,0.0,0.0,26.0
150,0.0,0.0,20.0
151,0.0,0.0,23.0
152,0.0,0.0,24.0
153,0.0,0.0,27.0
154,0.0,0.0,17.0
155,0.0,0.0,16.0
156,0.0,0.0,26.0
157,0.0,0.0,26.0
158,0.0,0.0,22.0
159,0.0,0.0,21.0
160,0.0,0.0,19.0
161,0.0,0.0,18.0
162,0.0,0.0,10.0
163,0.0,0.0,28.0
164,0.0,0.0,15.0
165,0.0,0.0,18.0
166,0.0,0.0,21.0
167,0.0,0.0,26.0
168,0.0,0.0,14.0
169,0.0,0.0,17.0
170,0.0,0.0,19.0
171,0.0,0.0,20.0
172,0.0,0.0,31.0
173,0.0,0.0,41.0
174,0.0,0.0,23.0
175,0.0,0.0,22.0
176,0.0,0.0,20.0
177,0.0,0.0,36.0
178,0.0,0.0,36.0
179,0.0,0.0,45.0
180,0.0,0.0,41.0
181,0.0,0.0,27.0
182,0.0,0.0,29.0
183,0.0,0.0,29.0
184,0.0,0.0,31.0
185,0.0,0.0,30.0
186,0.0,0.0,24.0
187,0.0,0.0,12.0
188,0.0,0.0,12.0
189,0.0,0.0,11.0
190,0.0,0.0,9.0
191,0.0,0.0,14.0
192,0.0,0.0,6.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
