,0,1,2
0,3220.0,492.0,0.0
1,1187.0,690.0,0.0
2,1179.0,1352.0,1.0
3,1429.0,1975.0,26.0
4,2027.0,1657.0,277.0
5,1746.0,1707.0,690.0
6,1905.0,2098.0,466.0
7,1990.0,2335.0,748.0
8,1895.0,2445.0,822.0
9,1660.0,2786.0,730.0
10,2081.0,2759.0,428.0
11,1775.0,2356.0,637.0
12,1680.0,2280.0,985.0
13,2307.0,2685.0,1081.0
14,2061.0,2237.0,1542.0
15,1652.0,2282.0,1588.0
16,1720.0,2476.0,895.0
17,1544.0,2082.0,760.0
18,1523.0,1661.0,862.0
19,1611.0,1448.0,633.0
20,1557.0,1348.0,519.0
21,1137.0,1132.0,607.0
22,1040.0,1127.0,447.0
23,874.0,1179.0,428.0
24,918.0,1233.0,383.0
25,879.0,1109.0,420.0
26,846.0,1075.0,411.0
27,964.0,951.0,374.0
28,1057.0,783.0,406.0
29,1068.0,720.0,442.0
30,990.0,693.0,385.0
31,842.0,619.0,425.0
32,699.0,555.0,307.0
33,750.0,515.0,340.0
34,673.0,457.0,343.0
35,624.0,460.0,315.0
36,638.0,464.0,323.0
37,531.0,454.0,284.0
38,522.0,445.0,284.0
39,482.0,384.0,293.0
40,434.0,399.0,316.0
41,399.0,395.0,326.0
42,397.0,354.0,289.0
43,397.0,339.0,262.0
44,399.0,301.0,277.0
45,343.0,312.0,253.0
46,383.0,343.0,275.0
47,347.0,309.0,266.0
48,346.0,284.0,238.0
49,343.0,308.0,229.0
50,301.0,257.0,228.0
51,300.0,263.0,201.0
52,317.0,247.0,222.0
53,309.0,237.0,203.0
54,281.0,243.0,192.0
55,298.0,231.0,204.0
56,256.0,254.0,223.0
57,251.0,229.0,208.0
58,248.0,222.0,224.0
59,228.0,238.0,213.0
60,229.0,230.0,246.0
61,231.0,218.0,247.0
62,219.0,246.0,219.0
63,222.0,232.0,254.0
64,233.0,226.0,257.0
65,195.0,219.0,240.0
66,239.0,209.0,293.0
67,229.0,199.0,242.0
68,203.0,187.0,282.0
69,229.0,198.0,302.0
70,207.0,226.0,307.0
71,204.0,241.0,343.0
72,202.0,263.0,365.0
73,206.0,260.0,360.0
74,180.0,234.0,401.0
75,216.0,262.0,362.0
76,186.0,256.0,416.0
77,213.0,264.0,424.0
78,234.0,315.0,440.0
79,221.0,318.0,468.0
80,215.0,293.0,563.0
81,238.0,369.0,578.0
82,233.0,325.0,679.0
83,269.0,309.0,679.0
84,235.0,303.0,780.0
85,251.0,311.0,858.0
86,257.0,313.0,837.0
87,254.0,325.0,1065.0
88,276.0,355.0,1118.0
89,301.0,365.0,843.0
90,276.0,341.0,1016.0
91,278.0,334.0,1171.0
92,298.0,247.0,836.0
93,288.0,145.0,818.0
94,299.0,62.0,875.0
95,278.0,40.0,820.0
96,306.0,10.0,793.0
97,288.0,7.0,789.0
98,247.0,9.0,780.0
99,308.0,11.0,856.0
100,270.0,10.0,933.0
101,199.0,10.0,915.0
